1,Sinbad Howe,9640,Ransom Road,Tall Tree,MN,314901.54,Spalding
2,Pauline Jones,19,Down Town Street,Placer,NJ,378050.66,Bubble Face
3,Pauline Shah,262942,Jane Lane,Hilltop,MN,476246.58,Roll Out
4,Dorthy Jones,74457508,Down Town Street,Woodside,OH,977077.33,Reebok
5,Hayden Topper,56,Cypress Way,Auburn,OH,069578.16,Roll Out
6,Phillip Wang,465526,1st Street,Hilltop,AZ,857207.23,Santa Anne Company
7,Leaf Motwani,6224759,Friends Circle,Townsville,ME,557137.77,Wilson
8,Tina Graalfs,377318,Santa Teresa Road,Palo Alto,SC,202852.94,Spalding
9,Jeff Brown,088752,Daisy Lane,Sick Dog,FL,112456.12,Skip Shot
10,Michelle Dewan,98,Sycamore Road,East Palo Alto,CO,414753.14,Swain
11,Mark Bush,21913481,Iris Circle,Sick Dog,NY,056802.47,Marty Hogan
12,Mary Thatcher,41134,Fay Way,East Palo Alto,ND,811998.24,Pinch
13,Liz Reagan,909,Zelkova Street,Woodside,OH,427182.39,Marty Hogan
14,Bob Powell,70935795,Palm Drive,Townsville,MN,273878.49,Santa Anne Company
15,Jaron Dicks,92,University Drive,Tall Tree,SD,594443.97,Bubble Face
16,Dorthy Morris,00134212,Lincoln Street,Water Front,ND,461445.08,Ellis
17,Jennifer Lin,52,Town Hall Way,Desperado,SD,889870.69,Swain
18,Hannah Simon,265521,Rose Road,Woodside,ND,631010.68,CourtPlay
19,Joe Bowie,147082,Burning Bridges Road,Lincoln,CO,534049.64,Johnson
20,Karen Hart,169,Cypress Way,Harmon,CA,648338.94,CourtPlay
21,Craig Bush,02,Palm Drive,Colfax,VT,687295.07,Gosen
22,Kristin Goldstein,22,Washington Street,New York,OR,880634.17,Nike
23,Tina Reagan,83320,Newell Road,Lone Cow,VT,153188.46,Nike
24,Liz Salisbury,96,Grimzly Drive,Barrington,MN,934958.93,Bubble Face
25,Fred Hart,082,Miracle Drive,Water Front,WA,006534.52,Ellis
26,Mark Barns,76,Willowspree Lane,Hollow Tree,SD,563586.07,Z-Ball
27,Dave Wilhelm,556,Lincoln Street,Tall Tree,CO,469466.34,Skip Shot
28,Tina Zelesko,603,Daisy Lane,Meadow Sweep,MA,201170.37,Johnson
29,Liz Salisbury,93,University Drive,Lincoln,VT,625674.83,Z-Ball
30,Aubry Booker,6960,Palm Drive,Lone Cow,SD,852851.35,Genesis
31,Colleen Marly,18,Palm Drive,Lonely Swallow,WY,620055.07,Beefcake
32,Roy McHugh,6029018,Cypress Way,Spring Hill,NC,337087.22,Pinch
33,Mike Goldman,337,Grimzly Drive,Lincoln,WY,671740.73,Head
34,Vineet Newton,10,Ransom Road,Colfax,NC,309215.90,Nike
35,Devin Widom,29,Elm Street,Palo Alto,WY,595190.18,E-Force
36,Vineet Thatcher,16337,Rose Road,East Palo Alto,SC,707240.79,Pro Kennex
37,Sue Barns,1367,Rose Road,New York,OR,206369.55,Ellis
38,Devin Welch,44,Palm Drive,Reed,SC,668501.06,Beefcake
39,Elise Wilhelm,994760,Ransom Road,Sleepy Town,CO,390613.55,CourtPlay
40,Craig Roberts,08033,Lincoln Street,Woodside,NY,690441.30,Z-Ball
41,Liz Booker,1459,Down Town Street,Washington,OR,610509.14,Swain
42,Dorthy Graalfs,57532,Ransom Road,Seekonk,VT,610591.37,Ellis
43,Rob Lin,22590116,1st Street,Placer,WA,369629.92,CourtPlay
44,Dorthy Dicks,51449,Palm Drive,Lonely Swallow,WY,808009.35,Pinch
45,Roy Wilhelm,77,Madison Blvd.,Placer,FL,001613.24,Beefcake
46,Steve Shah,096300,Palm Drive,Helen,NJ,308316.39,Pro Kennex
47,Bob Motwani,6649,Burning Bridges Road,Woodside,SD,457531.02,CourtPlay
48,George Smith,95,Newell Road,Helen,NJ,887907.38,Beefcake
49,Karen Larkin,5293,Elm Street,East Palo Alto,SC,146525.28,Bubble Face
50,Roy Goldman,802,Ransom Road,Brighton,SC,487007.46,Ektelon
51,Sarah Welch,75,Grimzly Drive,Townsville,FL,080703.84,Wilson
52,Karen Cooper,518003,2nd Street,Tall Tree,AZ,595714.39,Head
53,Cathy Graalfs,7505543,Madison Blvd.,Placer,FL,132463.83,Wilson
54,Alex Morgan,64,Willowspree Lane,Desperado,CA,847730.44,Bubble Face
55,Frank Booker,4311,Zelkova Street,Palo Alto,NC,175273.84,Gemini
56,Karen Willis,66,Iris Circle,Colfax,OH,379387.69,Beefcake
57,Flip Wang,454,2nd Street,Beck,NC,652376.21,Z-Ball
58,Dorthy Gonzales,49,Central Road,Seekonk,WY,793134.13,Gemini
59,Craig Belare,99,Main Street,Reed,MA,808720.87,Gosen
60,Fred Belare,55,Fay Way,Harmon,AZ,457736.92,Reebok
61,Craig Gonzales,99352,Rose Road,Townsville,MN,013374.44,Spalding
62,Seth Wiltshire,05,Mission Expressway,River Bottom,WA,095304.03,Nelson
63,JT Hart,116862,Gates Road,Placer,AZ,017185.98,Roll Out
