0,Hermione,Bush,3,58265,27
1,Wendy,Kidman,2,32414,167
2,Frodo,Smith,5,136327,183
3,Elrond,Potter,6,24110,111
4,Elrond,Kidman,1,148890,136
5,Michelle,Granger,4,56802,67
6,Jack,Bush,1,64288,188
7,Wendy,Baggins,7,125990,3
8,James,Kidman,3,8480,3
9,Elrond,Bush,2,186439,145
10,Jack,Bush,1,100980,59
11,Joyce,Kennedy,9,31436,190
12,Hermione,Potter,4,64392,25
13,William,Kidman,3,111126,136
14,Sauron,Proudfeet,1,24536,61
15,Harry,Granger,9,18900,93
16,Michelle,Kidman,8,162242,171
17,Frodo,Taktak,2,53590,53
18,Gandalf,Proudfeet,1,178904,34
19,Joyce,Honggowibowo,8,117200,49
20,Gandalf,Kennedy,6,71621,110
21,William,Atkins,6,15925,182
22,Sauron,Granger,2,15800,180
23,Frodo,Atkins,5,169375,65
24,Jack,Clinton,6,175471,97
25,Frodo,Kennedy,3,132685,56
26,Evelyn,Potter,3,148143,67
27,Joyce,Bush,6,140706,166
28,Gandalf,Bush,8,23898,187
29,William,Snipes,2,114108,83
30,James,Atkins,8,182355,159
31,William,Bin laden,5,179814,85
32,Jack,Proudfeet,3,71571,26
33,Harry,Clinton,3,164900,129
34,Jack,Smith,7,130800,57
35,Elrond,Proudfeet,1,61344,24
36,Jack,Smith,7,110728,165
37,William,Clinton,2,153888,163
38,Gandalf,Bush,2,4566,74
39,Joyce,Atkins,9,130634,189
40,Harry,Granger,4,79680,35
41,Frodo,Taktak,0,16050,68
42,Gandalf,Proudfeet,1,8940,186
43,Gandalf,Granger,1,88923,190
44,Gandalf,Cruise,8,56703,1
45,Frodo,Potter,4,145938,107
46,Hermione,Snipes,5,172710,75
47,Michelle,Clinton,8,10986,175
48,Frodo,Taktak,4,18528,113
49,Bill,Snipes,1,57830,69
50,Harry,Kidman,9,146768,164
51,Harry,Proudfeet,5,61140,156
52,Hermione,Proudfeet,8,158053,157
53,Michelle,Snipes,0,109278,9
54,Michelle,Cruise,6,194568,63
55,Jack,Bin laden,7,22391,40
56,Hermione,Smith,9,67140,64
57,Jack,Baggins,2,182234,43
58,Bill,Honggowibowo,3,38148,42
59,Wendy,Kennedy,4,171350,126
60,Hermione,Honggowibowo,8,179800,165
61,Mike,Cruise,1,91638,49
62,James,Bin laden,0,176520,33
63,Evelyn,Cruise,4,84175,92
64,Hermione,Proudfeet,5,147636,134
65,Hermione,Taktak,4,146284,89
66,Mike,Snipes,3,129824,163
67,Elrond,Kennedy,5,186175,155
68,Sauron,Baggins,3,116006,22
69,Evelyn,Smith,4,115200,105
70,William,Clinton,8,3678,65
71,Jack,Granger,0,182273,137
72,Michelle,Atkins,1,119139,79
73,Mike,Kennedy,5,116407,149
74,Harry,Granger,6,109708,130
75,Joyce,Smith,9,160336,199
76,Jack,Bin laden,8,106621,126
77,Evelyn,Snipes,7,8700,196
78,William,Honggowibowo,1,122348,89
79,William,Kennedy,6,67992,52
80,Sauron,Atkins,3,41791,82
81,Bill,Snipes,8,10804,12
82,Wendy,Proudfeet,6,130280,165
83,Jack,Granger,3,28444,159
84,Sauron,Clinton,4,165840,120
85,Michelle,Potter,3,149699,170
86,Jack,Kennedy,3,162596,40
87,Harry,Honggowibowo,9,185316,97
88,Bill,Bush,7,71032,162
89,Frodo,Atkins,2,34580,98
90,Jack,Kennedy,6,190848,146
91,Elrond,Granger,8,40080,161
92,Frodo,Kennedy,4,67480,147
93,Sauron,Honggowibowo,8,132850,141
94,Jack,Taktak,7,26970,67
95,Gandalf,Cruise,3,130599,165
96,Gandalf,Smith,6,36817,61
97,Sauron,Bin laden,9,120115,38
98,Joyce,Clinton,6,138572,52
99,James,Atkins,6,137925,32
100,William,Smith,5,82496,155
101,Bill,Snipes,0,113714,172
102,Hermione,Baggins,5,167080,46
103,James,Taktak,4,86645,159
104,Michelle,Bush,9,26525,47
105,William,Cruise,7,168147,147
106,James,Atkins,1,111441,17
107,Bill,Bush,1,192032,18
108,Gandalf,Kennedy,0,73256,45
109,James,Clinton,9,160404,19
110,Evelyn,Snipes,0,142784,127
111,Wendy,Taktak,0,92669,1
112,Mike,Snipes,4,20020,198
